,hex1_id,hex2_id,bin_depth,x,y,z,roi
0,1,7,0,30974.008211174587,42089.836854066365,37214.78118067726,LOP_R
1,1,7,1,30965.745299273676,42099.19901487886,37266.25001076144,LOP_R
2,1,7,2,30957.416980241705,42108.50447407847,37317.72520053453,LOP_R
3,1,7,3,30949.025901526,42117.751078339745,37369.20696546643,LOP_R
4,1,7,4,30940.574710573877,42126.936674337165,37420.69552102703,LOP_R
5,1,7,5,30932.066054832663,42136.059108745256,37472.19108268624,LOP_R
6,1,7,6,30923.50258174967,42145.11622823853,37523.693865913934,LOP_R
7,1,7,7,30914.886938772233,42154.105879491486,37575.20408618003,LOP_R
8,1,7,8,30906.221773347665,42163.02590917864,37626.7219589544,LOP_R
9,1,7,9,30897.50973292328,42171.8741639745,37678.24769970695,LOP_R
10,1,7,10,30888.753464946414,42180.64849055359,37729.78152390757,LOP_R
11,1,7,11,30879.955616864376,42189.3467355904,37781.32364702617,LOP_R
12,1,7,12,30871.118836124493,42197.966745759455,37832.7669321727,LOP_R
13,1,7,13,30862.24577017409,42206.50636773526,37884.09709616116,LOP_R
14,1,7,14,30853.33906646048,42214.96344819233,37935.39938096166,LOP_R
15,1,7,15,30844.40137243099,42223.33583380517,37986.673372307625,LOP_R
16,1,7,16,30835.43533553294,42231.697629827904,38037.918655932495,LOP_R
17,1,7,17,30826.449880257693,42240.035531112415,38089.13376347038,LOP_R
18,1,7,18,30817.384151510712,42248.44321755047,38140.27711715062,LOP_R
19,1,7,19,30808.146279466935,42257.375762769,38191.33490858415,LOP_R
20,1,7,20,30799.482302124045,42266.329322068355,38242.31754089417,LOP_R
21,1,7,21,30789.56137846299,42275.29907884727,38293.235920516854,LOP_R
22,1,7,22,30778.641130870503,42284.28021650444,38344.10590390514,LOP_R
23,1,7,23,30768.084923171613,42293.114244874014,38394.93841258883,LOP_R
24,1,7,24,30757.641354598192,42301.9064543816,38445.742617496115,LOP_R
25,1,7,25,30748.00566242981,42310.69281731824,38496.52768955516,LOP_R
26,1,7,26,30739.149478378782,42319.47215104944,38547.30279969416,LOP_R
27,1,7,27,30731.574543411614,42328.24333615157,38598.077118841284,LOP_R
28,1,7,28,30724.04818619812,42337.005012923306,38648.85981792473,LOP_R
29,1,7,29,30716.54012040785,42345.75543746658,38699.8909366262,LOP_R
30,1,7,30,30709.03343701757,42354.49285816011,38751.081062392164,LOP_R
31,1,7,31,30701.51122700401,42363.216542194496,38802.313349276774,LOP_R
32,1,7,32,30693.956581343948,42371.9321460819,38853.594755409526,LOP_R
33,1,7,33,30686.352591014118,42380.64072100131,38904.93223891998,LOP_R
34,1,7,34,30678.682346991285,42389.342127672186,38956.33275793764,LOP_R
35,1,7,35,30670.928940252197,42398.03622681394,39007.80327059203,LOP_R
36,1,7,36,30663.075461773606,42406.72287914606,39059.35073501265,LOP_R
37,1,7,37,30655.10500253227,42415.40194538796,39110.982109329074,LOP_R
38,1,7,38,30647.000653504932,42424.07328625908,39162.70435167077,LOP_R
39,1,7,39,30638.745505668354,42432.73676247889,39214.52035503406,LOP_R
40,1,7,40,30630.32264999929,42441.39223476683,39266.416133957406,LOP_R
41,1,7,41,30621.71517747448,42450.03956384232,39318.39606097015,LOP_R
42,1,7,42,30612.891519354336,42458.67861042483,39370.456597528595,LOP_R
43,1,7,43,30603.782014397282,42467.30923523381,39422.59892704608,LOP_R
44,1,7,44,30594.412864757163,42475.9312989887,39474.81849368229,LOP_R
45,1,7,45,30584.82270811338,42484.54466240892,39527.10983500814,LOP_R
46,1,7,46,30575.050182145333,42493.14918621395,39579.46748859454,LOP_R
47,1,7,47,30565.133924532405,42501.744731123224,39631.88599201242,LOP_R
48,1,7,48,30555.112572954007,42510.33115785617,39684.3598828327,LOP_R
49,1,7,49,30545.024765089525,42518.90832713226,39736.88369862627,LOP_R
50,1,7,50,30534.909138618368,42527.47609967092,39789.45197696407,LOP_R
102,1,10,0,31360.517258977383,41328.91424572159,37431.20644002922,LOP_R
103,1,10,1,31354.50383250839,41349.306385700605,37477.2291973584,LOP_R
104,1,10,2,31348.536789181748,41369.61494127287,37523.30039551627,LOP_R
105,1,10,3,31342.624339331414,41389.83973625895,37569.420975188645,LOP_R
106,1,10,4,31336.774693291376,41409.9805944794,37615.59187706131,LOP_R
107,1,10,5,31330.996061395595,41430.03733975477,37661.81404182005,LOP_R
108,1,10,6,31325.296653978054,41450.009795905615,37708.07124978407,LOP_R
109,1,10,7,31319.684681372713,41469.897786752495,37754.27745701846,LOP_R
110,1,10,8,31314.168353913563,41489.70113611597,37800.501732531426,LOP_R
111,1,10,9,31308.755881934554,41509.41966781658,37846.74420132651,LOP_R
112,1,10,10,31303.45547576968,41529.0532056749,37893.00498840725,LOP_R
