ground_truth,ACh,Glu,GABA,His,Dop,OA,5HT
ACh,0.9330629092233887,0.0125598633903693,0.0082572299100191,0.0043809926993631,0.0343701852330525,0.001211006112019,0.0061578134317877
Glu,0.0304435041216742,0.8792688768687251,0.0308626574319873,0.007699447116824,0.0321001576814834,0.004446019041536,0.0151793377377697
GABA,0.0297232219144033,0.0230484426378064,0.89316210548119,0.0011547523496362,0.036045879398286,0.0015379437122957,0.0153276545063822
His,0.0094237241568789,0.010852393708359,0.005934473521533,0.9605604780548116,0.0103578542482313,0.0013599835153513,0.0015110927948348
Dop,0.0,0.001294777729823,0.002589555459646,0.0004315925766076,0.9712990936555892,0.0,0.024384980578334
OA,0.0034353995519044,0.0050286283295992,0.0020413243714214,0.0010455563853622,0.0288274831964152,0.907194423699278,0.0524271844660194
5HT,0.0025052610482012,0.0031065236997695,0.002104419280489,0.000100210441928,0.0956007615993586,0.0034071550255536,0.8931756689046999
